# NSAID zone depth edge out
2190 566 2 0 0
2201 713 4 0 0
2206 566 2 0 0
2207 22 4 0 0
2209 684 3 0 0
2229 559 1 0 0
2231 566 1 0 0
2233 22 4 0 0
2235 1035 0 1 0
2239 1035 0 1 0
2241 935 1 0 0
2242 935 0 0 0
2251 713 3 0 0
2252 22 5 0 0
2255 22 4 0 0
2258 566 3 0 0
2260 1035 0 1 0
2263 22 5 0 0
2264 691 2 0 0
2272 691 2 0 0
2274 935 2 0 0
2278 1035 0 1 0
2279 1035 0 1 0
2280 1035 0 1 0
2281 1035 0 1 0
2283 1035 0 1 0
2285 1035 0 1 0
2288 1035 0 1 0
2291 1035 0 1 0
2292 1035 0 1 0
2297 22 4 0 0
2300 691 1 0 0
2303 1035 0 1 0
2304 1035 0 1 0
2305 1035 0 1 0
2306 1035 0 1 0
2310 850 1 0 0
2311 850 3 0 0
2312 850 3 0 0
2313 1035 0 1 0
2314 850 3 0 0
2317 1035 0 1 0
2322 691 1 0 0
2324 850 3 0 0
2325 1035 0 1 0
2333 1035 0 1 0
2334 1035 0 1 0
2335 1035 0 1 0
2336 22 4 0 0
2337 1035 0 1 0
2339 1035 0 1 0
2342 1035 0 1 0
2343 22 5 0 0
2344 850 4 0 0
2346 1035 0 1 0
2347 1035 0 1 0
2348 22 6 0 0
2350 22 6 0 0
2351 1035 0 1 0
2352 691 2 0 0
2354 22 6 0 0
2355 22 5 0 0
2356 22 6 0 0
2357 22 6 0 0
2360 1035 0 1 0
2365 1035 0 1 0
2367 713 5 0 0
2368 850 2 0 0
2370 1035 0 1 0
2371 22 4 0 0
2374 1035 0 1 0
2375 1035 0 1 0
2376 1035 0 1 0
2377 1035 0 1 0
2388 1035 0 1 0
2391 1035 0 1 0
2392 935 2 0 0
2393 935 1 0 0
2395 22 4 0 0
2396 1035 0 1 0
2401 1035 0 1 0
2403 1035 0 1 0
2405 1035 0 1 0
2406 22 5 0 0
2410 850 1 0 0
2411 1035 0 1 0
2412 1035 0 1 0
2413 1035 0 1 0
2414 1035 0 1 0
2417 566 2 0 0
2418 566 2 0 0
2419 22 6 0 0
2420 1035 0 1 0
2423 713 5 0 0
2424 22 5 0 0
2428 574 3 0 0
2429 574 2 0 0
2430 22 4 0 0
2446 1035 0 1 0
2447 22 5 0 0
2452 597 2 0 0
2454 684 3 0 0
2457 597 2 0 0
2458 22 5 0 0
2460 713 4 0 0
2461 559 2 0 0
2465 935 1 0 0
2466 935 1 0 0
2468 566 2 0 0
2473 850 1 0 0
2475 850 1 0 0
2477 691 2 0 0
2479 828 1 0 0
2480 828 2 0 0
2483 1035 0 1 0
2485 850 2 0 0
2486 713 5 0 0
2490 450 3 0 0
2494 850 1 0 0
2499 850 1 0 0
2502 850 1 0 0
2504 850 1 0 0
2507 691 4 0 0
2508 850 1 0 0
2510 22 4 0 0
2513 22 4 0 0
2514 22 4 0 0
2516 850 1 0 0
2517 22 4 0 0
2525 713 5 0 0
2526 22 4 0 0
2527 713 5 0 0
2530 22 5 0 0
2531 22 4 0 0
2539 850 2 0 0
2542 713 5 0 0
2552 850 1 0 0
2554 22 4 0 0
2556 574 5 0 0
2557 850 1 0 0
2558 574 6 0 0
2562 22 3 0 0
2567 850 2 0 0
2569 691 1 0 0
2577 850 3 0 0
2579 22 4 0 0
2580 574 6 0 0
2581 691 3 0 0
2582 691 3 0 0
2583 22 4 0 0
2584 22 4 0 0
2591 850 2 0 0
2593 850 1 0 0
2600 850 4 0 0
2601 850 0 0 0
2603 616 1 0 0
2604 850 5 0 0
2608 574 5 0 0
2609 574 3 0 0
2614 450 2 0 0
2624 22 3 0 0
2627 22 4 0 0
2628 691 1 0 0
2629 1035 0 1 0
2634 1035 0 1 0
2637 1035 0 1 0
2638 1035 0 1 0
2640 850 5 0 0
2643 850 4 0 0
2644 1035 0 1 0
2653 143 3 0 0
2655 143 3 0 0
2656 1035 0 1 0
2659 1035 0 1 0
2661 143 3 0 0
2663 143 3 0 0
2670 1035 0 1 0
2671 1035 0 1 0
2674 1035 0 1 0
2676 1035 0 1 0
2679 143 2 0 0
2680 22 4 0 0
2692 1035 0 1 0
2698 1035 0 1 0
2703 1035 0 1 0
2705 22 4 0 0
2708 1035 0 1 0
2709 691 1 0 0
2713 22 4 0 0
2714 143 2 0 0
2719 1035 0 1 0
2721 1035 0 1 0
2723 1035 0 1 0
2727 1035 0 1 0
2729 1035 0 1 0
2734 691 2 0 0
2736 22 4 0 0
2737 22 4 0 0
2738 22 3 0 0
2739 1035 0 1 0
2740 22 4 0 0
2741 850 2 0 0
2744 1035 0 1 0
2745 1035 0 1 0
2747 1035 0 1 0
2748 1035 0 1 0
2751 1035 0 1 0
2760 1035 0 1 0
2762 22 4 0 0
2763 22 4 0 0
2764 1035 0 1 0
2766 1035 0 1 0
2769 1035 0 1 0
2771 1035 0 1 0
2773 22 4 0 0
2777 1035 0 1 0
2779 350 2 0 0
2780 350 2 0 0
2782 574 3 0 0
2786 850 4 0 0
2788 850 2 0 0
2791 22 3 0 0
2798 850 3 0 0
2812 691 3 0 0
2815 691 2 0 0
2816 574 4 0 0
2818 850 1 0 0
2821 22 3 0 0
2822 22 3 0 0
2834 691 0 0 0
2840 22 4 0 0
2841 22 3 0 0
2842 22 3 0 0
2843 850 1 0 0
2844 574 3 0 0
2845 691 1 0 0
2846 850 2 0 0
2847 22 3 0 0
2851 616 2 0 0
2855 1035 0 1 0
2863 850 3 0 0
2864 850 3 0 0
2866 850 3 0 0
2867 691 2 0 0
2871 850 2 0 0
2875 828 2 0 0
2877 1035 0 1 0
2879 691 2 0 0
2885 850 2 0 0
2886 850 3 0 0
2890 828 1 0 0
2891 22 4 0 0
2894 22 5 0 0
2899 1035 0 1 0
2900 813 2 0 0
2904 616 3 0 0
2910 574 3 0 0
2912 1035 0 1 0
2916 22 5 0 0
2918 1035 0 1 0
2919 652 3 0 0
2920 691 1 0 0
2923 828 2 0 0
2925 616 2 0 0
2926 850 3 0 0
2932 143 2 0 0
2934 574 2 0 0
2935 1035 0 1 0
2936 813 2 0 0
2938 1035 0 1 0
2940 22 4 0 0
2941 22 5 0 0
2942 1035 0 1 0
2943 22 5 0 0
2945 22 4 0 0
2946 143 3 0 0
2948 22 4 0 0
2949 850 3 0 0
2951 1035 0 1 0
2954 1035 0 1 0
2960 1035 0 1 0
2965 1035 0 1 0
2968 1035 0 1 0
2969 1035 0 1 0
2970 1035 0 1 0
2974 616 1 0 0
2983 1035 0 1 0
2992 1035 0 1 0
2993 1035 0 1 0
2997 616 1 0 0
2999 221 4 0 0
3006 1035 0 1 0
3010 1035 0 1 0
3011 1035 0 1 0
3012 371 7 0 0
3015 1035 0 1 0
3027 22 5 0 0
3028 371 7 0 0
3033 1035 0 1 0
3034 1035 0 1 0
3037 1035 0 1 0
3041 813 2 0 0
3043 371 8 0 0
3046 1035 0 1 0
3052 411 4 0 0
3056 411 3 0 0
3058 906 1 0 0
3059 603 4 0 0
3060 1035 0 1 0
3061 411 4 0 0
3064 1035 0 1 0
3068 22 3 0 0
3073 1035 0 1 0
3077 22 6 0 0
3078 371 8 0 0
3081 371 8 0 0
3082 1035 0 1 0
3086 371 8 0 0
3087 1035 0 1 0
3090 1035 0 1 0
3091 221 5 0 0
3092 411 4 0 0
3095 22 4 0 0
3098 1035 0 1 0
3105 1035 0 1 0
3106 1035 0 1 0
3107 1035 0 1 0
3111 371 9 0 0
3113 1035 0 1 0
3114 1035 0 1 0
3117 1035 0 1 0
3118 1035 0 1 0
3119 1035 0 1 0
3121 1035 0 1 0
3125 1035 0 1 0
3126 1035 0 1 0
3127 1035 0 1 0
3129 1035 0 1 0
3130 371 8 0 0
3131 1035 0 1 0
3132 1035 0 1 0
3133 1035 0 1 0
3136 1035 0 1 0
3137 850 4 0 0
3138 1035 0 1 0
3142 850 3 0 0
3145 22 4 0 0
3146 371 8 0 0
3150 371 8 0 0
3152 371 9 0 0
3154 1035 0 1 0
3155 1035 0 1 0
3166 850 4 0 0
3167 850 4 0 0
3168 1035 0 1 0
3169 1035 0 1 0
3171 1035 0 1 0
3182 691 2 0 0
3183 906 1 0 0
3184 22 3 0 0
3186 691 1 0 0
3187 22 5 0 0
3194 691 2 0 0
3205 143 3 0 0
3206 503 2 0 0
3208 828 2 0 0
3211 691 2 0 0
3212 143 4 0 0
3213 143 3 0 0
3220 813 3 0 0
3226 813 1 0 0
3227 813 2 0 0
3229 1035 0 1 0
3233 22 5 0 0
3234 371 7 0 0
3238 813 3 0 0
3239 850 2 0 0
3240 828 2 0 0
3241 143 4 0 0
3243 371 8 0 0
3245 143 3 0 0
3246 221 4 0 0
3251 411 3 0 0
3253 813 3 0 0
3254 691 2 0 0
3257 813 3 0 0
3258 828 2 0 0
