# NSAID zone depth edge out
2983 1036 0 1 0
2992 1036 0 1 0
2993 1036 0 1 0
2997 616 1 0 0
2999 222 4 0 0
3006 1036 0 1 0
3010 1036 0 1 0
3011 1036 0 1 0
3012 370 7 0 0
3015 1036 0 1 0
3027 22 5 0 0
3028 370 7 0 0
3033 1036 0 1 0
3034 1036 0 1 0
3037 1036 0 1 0
3041 815 2 0 0
3043 370 8 0 0
3046 1036 0 1 0
3052 410 5 0 0
3056 410 4 0 0
3058 907 1 0 0
3059 607 4 0 0
3060 1036 0 1 0
3061 410 5 0 0
3064 1036 0 1 0
3068 22 3 0 0
3073 1036 0 1 0
3077 22 6 0 0
3078 370 8 0 0
3081 370 8 0 0
3082 1036 0 1 0
3086 370 8 0 0
3087 1036 0 1 0
3090 1036 0 1 0
3091 222 5 0 0
3092 410 5 0 0
3095 22 4 0 0
3098 1036 0 1 0
3105 1036 0 1 0
3106 1036 0 1 0
3107 1036 0 1 0
3111 370 9 0 0
3113 1036 0 1 0
3114 1036 0 1 0
3117 1036 0 1 0
3118 1036 0 1 0
3119 1036 0 1 0
3121 1036 0 1 0
3125 1036 0 1 0
3126 1036 0 1 0
3127 1036 0 1 0
3129 1036 0 1 0
3130 370 8 0 0
3131 1036 0 1 0
3132 1036 0 1 0
3133 1036 0 1 0
3136 1036 0 1 0
3137 851 4 0 0
3138 1036 0 1 0
3142 851 3 0 0
3145 22 4 0 0
3146 370 8 0 0
3150 370 8 0 0
3152 370 9 0 0
3154 1036 0 1 0
3155 1036 0 1 0
3166 851 4 0 0
3167 851 4 0 0
3168 1036 0 1 0
3169 1036 0 1 0
3171 1036 0 1 0
3182 696 2 0 0
3183 907 1 0 0
3184 22 3 0 0
3186 696 1 0 0
3187 22 5 0 0
3194 696 2 0 0
3205 143 3 0 0
3206 501 2 0 0
3208 830 2 0 0
3211 696 2 0 0
3212 143 4 0 0
3213 143 3 0 0
3220 815 3 0 0
3226 815 1 0 0
3227 815 2 0 0
3229 1036 0 1 0
3233 22 5 0 0
3234 370 7 0 0
3238 815 3 0 0
3239 851 2 0 0
3240 830 2 0 0
3241 143 4 0 0
3243 370 8 0 0
3245 143 3 0 0
3246 222 4 0 0
3251 410 4 0 0
3253 815 3 0 0
3254 696 2 0 0
3257 815 3 0 0
3258 830 2 0 0
3260 1036 0 1 0
3264 143 4 0 0
3267 370 6 0 0
3270 410 4 0 0
3271 652 4 0 0
3276 1036 0 1 0
3277 22 4 0 0
3279 1036 0 1 0
3281 1036 0 1 0
3286 652 3 0 0
3289 616 0 0 0
3290 370 6 0 0
3294 745 2 0 0
3298 22 3 0 0
3301 815 4 0 0
3303 815 2 0 0
3305 830 2 0 0
3307 815 3 0 0
3308 652 4 0 0
3310 143 4 0 0
3311 815 3 0 0
3312 851 2 0 0
3313 22 4 0 0
3315 370 6 0 0
3321 607 4 0 0
3327 370 6 0 0
3334 745 1 0 0
3339 370 6 0 0
3340 830 2 0 0
3341 607 3 0 0
3345 607 2 0 0
3349 607 2 0 0
3353 410 4 0 0
3354 745 1 0 0
3358 836 2 0 0
3359 745 1 0 0
3361 836 2 0 0
3363 836 2 0 0
3366 222 5 0 0
3367 1036 0 1 0
3370 1036 0 1 0
3372 1036 0 1 0
3374 1036 0 1 0
3382 607 2 0 0
3384 836 3 0 0
3386 607 3 0 0
3387 1036 0 1 0
3388 836 2 0 0
3397 1036 0 1 0
3402 1036 0 1 0
3405 444 3 0 0
3406 136 3 0 0
3407 607 3 0 0
3408 444 5 0 0
3409 370 8 0 0
3414 1036 0 1 0
3417 1036 0 1 0
3419 1036 0 1 0
3420 1036 0 1 0
3422 1036 0 1 0
3423 1036 0 1 0
3424 815 4 0 0
3429 136 4 0 0
3433 1036 0 1 0
3437 1036 0 1 0
3442 1036 0 1 0
3443 815 4 0 0
3445 222 3 0 0
3449 444 3 0 0
3450 745 1 0 0
3458 1036 0 1 0
3459 136 4 0 0
3462 1036 0 1 0
3463 745 2 0 0
3464 1036 0 1 0
3472 1036 0 1 0
3479 1036 0 1 0
3489 1036 0 1 0
3490 815 3 0 0
3493 1036 0 1 0
3504 1036 0 1 0
3507 1036 0 1 0
3513 1036 0 1 0
3514 1036 0 1 0
3516 143 5 0 0
3518 22 4 0 0
3520 815 3 0 0
3521 222 3 0 0
3538 815 2 0 0
3542 22 5 0 0
3547 1036 0 1 0
3550 410 5 0 0
3557 907 1 0 0
3563 830 2 0 0
3566 907 1 0 0
3570 143 4 0 0
3572 652 3 0 0
3581 370 5 0 0
3583 815 3 0 0
3591 830 2 0 0
3600 607 2 0 0
3601 745 2 0 0
3604 222 4 0 0
3613 1036 0 1 0
3620 136 5 0 0
3624 830 2 0 0
3625 745 1 0 0
3631 745 2 0 0
3638 1036 0 1 0
3640 652 4 0 0
3642 745 1 0 0
3643 652 3 0 0
3648 136 3 0 0
3650 830 3 0 0
3656 815 3 0 0
3657 607 2 0 0
3662 830 2 0 0
3667 370 8 0 0
3668 370 8 0 0
3670 1036 0 1 0
3679 136 3 0 0
3680 22 4 0 0
3681 815 4 0 0
3682 745 1 0 0
3683 815 3 0 0
3684 815 1 0 0
3685 815 3 0 0
3687 815 2 0 0
3689 745 1 0 0
3690 815 3 0 0
3691 410 3 0 0
3694 410 3 0 0
3696 410 3 0 0
3697 607 2 0 0
3698 370 7 0 0
3700 370 8 0 0
3701 607 2 0 0
3703 607 2 0 0
3704 1036 0 1 0
3705 745 1 0 0
3706 410 3 0 0
3708 410 4 0 0
3709 815 5 0 0
3710 410 1 0 0
3711 815 4 0 0
3712 444 2 0 0
3713 815 4 0 0
3714 410 3 0 0
3719 370 8 0 0
3721 410 2 0 0
3723 22 4 0 0
3724 444 4 0 0
3725 607 2 0 0
3727 607 2 0 0
3730 410 3 0 0
3731 410 3 0 0
3733 410 3 0 0
3734 410 2 0 0
3736 607 2 0 0
3738 607 1 0 0
3740 410 1 0 0
3742 410 3 0 0
3744 410 3 0 0
3746 501 1 0 0
3747 607 1 0 0
3755 444 3 0 0
3756 22 4 0 0
3757 410 2 0 0
3762 1036 0 1 0
3763 1036 0 1 0
3765 1036 0 1 0
3766 836 1 0 0
3769 1036 0 1 0
3774 410 2 0 0
3776 1036 0 1 0
3782 222 3 0 0
3783 1036 0 1 0
3787 1036 0 1 0
3788 1036 0 1 0
3792 1036 0 1 0
3794 410 4 0 0
3795 410 2 0 0
3797 619 1 0 0
3804 136 3 0 0
3806 410 2 0 0
3810 1036 0 1 0
3811 1036 0 1 0
3814 1036 0 1 0
3816 745 3 0 0
3818 745 4 0 0
3820 1036 0 1 0
3822 410 4 0 0
3824 136 3 0 0
3825 410 3 0 0
3826 410 2 0 0
3827 410 3 0 0
3835 1036 0 1 0
3836 1036 0 1 0
3837 410 2 0 0
3840 410 3 0 0
3841 136 4 0 0
3842 1036 0 1 0
3846 1036 0 1 0
3848 1036 0 1 0
3849 1036 0 1 0
3856 410 2 0 0
3858 745 3 0 0
3859 410 3 0 0
3864 1036 0 1 0
3870 136 4 0 0
3881 1036 0 1 0
3882 410 3 0 0
3883 1036 0 1 0
3884 1036 0 1 0
3886 1036 0 1 0
3890 1036 0 1 0
3891 136 4 0 0
3893 136 4 0 0
3895 1036 0 1 0
3897 607 2 0 0
3899 136 3 0 0
3906 1036 0 1 0
3907 1036 0 1 0
3913 1036 0 1 0
3915 1036 0 1 0
3917 745 2 0 0
3920 136 4 0 0
3921 745 2 0 0
3924 1036 0 1 0
3926 1036 0 1 0
3932 1036 0 1 0
3934 1036 0 1 0
3937 22 4 0 0
3938 815 4 0 0
3939 1036 0 1 0
3943 410 3 0 0
3944 410 2 0 0
3945 444 2 0 0
3946 444 3 0 0
3947 607 2 0 0
3948 370 5 0 0
3949 410 3 0 0
3950 815 3 0 0
